Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
24,0,1,0,21.0,38.0,0,0.08481693944784932,0.09801877565427858,9.11421706167084,7.283448228756631,5.220355825078325,10.084433163150152,0.6931471805599453,9.19207456316929,1.0986122886681096,0.3213404695677882,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,0,1,0,21.0,25.0,1,0.0,0.0,8.680374401557764,8.196436811235028,4.1588830833596715,9.638284261844774,7.025538314638521,8.690137586397595,9.757700411527319,0.32472710321597376,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,0,21.0,26.0,0,0.0,0.0,7.507448555790822,8.153349757998892,4.007333185232471,8.556606193773073,5.717027701406222,7.569411792450712,10.212509060862148,0.30018384856874825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,2,15.0,27.0,0,0.30035270981482703,0.3591279328997991,10.203501029724485,9.31695010703444,3.9512437185814275,10.571342565808699,5.560681631015528,10.124228219234027,9.271764673963181,0.5260400944922294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
36,0,1,0,16.0,26.0,0,0.0,0.0,9.105769544432606,7.767687277186908,5.043425116919247,9.87822102528824,7.662937850461535,9.113388845899733,9.192108510347433,0.37970344094920294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
42,1,1,-1,15.79727025685745,27.0,0,0.06419851133901712,0.1596618875291673,9.76839780344752,7.841885928984623,4.48863636973214,9.87822102528824,4.812184355372417,9.387816877106937,6.979765814338062,0.6397395472692395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
24,0,2,0,12.0,26.0,1,0.14582785529547265,0.2742175816651582,9.085324618159865,8.34283980427146,4.07753744390572,9.87822102528824,6.075346031088684,8.95531908176395,7.291429116633409,0.37328896361277075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,0,3,-1,14.077539072468147,27.0,0,0.0,0.0,8.850086172996782,7.48324441607385,1.791759469228055,8.556606193773073,0.0,8.05356916913454,7.173958319756794,0.8506422616375933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,0,2,0,6.0,26.0,1,0.054887726668900766,0.4579652073470579,9.961756932358107,8.087640287778983,4.605170185988092,7.8636512654486515,5.616771097666572,9.935083114125879,6.502540139129305,2.2141330423687005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,1,0,21.0,31.0,1,0.14041315721044978,0.16749701225598163,9.160002410586397,7.450079569807499,4.382026634673881,9.87822102528824,7.233455418621439,9.179365567676752,9.73413157832962,0.39715937749169433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,2,-1,16.0,26.0,1,0.40641665524355963,0.18670028946957587,9.30651109050174,7.981111296234082,3.6109179126442243,9.82341567777057,10.343482903541116,8.9614943233096,11.447892599477951,0.4677141353536216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,0,1,6.0,25.0,1,0.0,0.0,9.032307007698005,7.128528022150344,3.9889840465642745,8.768263145371286,8.000014093678072,0.0,9.012011377036412,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,0,1,-1,11.0,29.0,0,0.0,0.0,7.284182848967007,7.875119281040293,3.8066624897703196,8.086717920303906,6.951772164398911,7.309212365692763,8.006478672477877,0.37019779662079155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
24,0,6,-3,3.0,27.0,0,0.40405077507722714,0.0,10.831932916678275,9.304559047215164,3.5553480614894135,9.472781556562168,8.337827262447915,0.0,9.94067093549092,1.5878280931497328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
